,exp,edu,type,scale,industry,avgsalary,lnsalary,city
0,5-7年经验,本科,上市公司,1000-5000人,互联网/电子商务,25.0,3.2188758248682006,上海
1,无工作经验,本科,外资（欧美）,500-1000人,"酒店/旅游,互联网/电子商务",7.0,1.9459101490553132,上海
2,3-4年经验,本科,上市公司,1000-5000人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,南京
3,无工作经验,大专,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州
4,1年经验,大专,外资（非欧美）,500-1000人,金融/投资/证券,9.0,2.1972245773362196,广州
5,无工作经验,高中,合资,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州
6,3-4年经验,本科,民营公司,,计算机软件,12.0,2.4849066497880004,成都
7,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州
8,无工作经验,无学历要求,民营公司,500-1000人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015913,西安
9,无工作经验,大专,民营公司,50-150人,金融/投资/证券,9.0,2.1972245773362196,深圳
10,无工作经验,无学历要求,外资（非欧美）,1000-5000人,互联网/电子商务,17.5,2.8622008809294686,深圳
11,2年经验,本科,国企,1000-5000人,金融/投资/证券,25.0,3.2188758248682006,上海
12,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州
13,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州
14,无工作经验,无学历要求,民营公司,500-1000人,房地产,5.25,1.6582280766035324,武汉
15,2年经验,本科,民营公司,150-500人,"互联网/电子商务,广告",8.5,2.1400661634962708,广州
16,无工作经验,无学历要求,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",3.75,1.3217558399823195,深圳
17,无工作经验,大专,民营公司,50-150人,"互联网/电子商务,影视/媒体/艺术/文化传播",6.5,1.8718021769015913,苏州
18,3-4年经验,大专,民营公司,150-500人,"互联网/电子商务,石油/化工/矿产/地质",9.0,2.1972245773362196,广州
19,3-4年经验,本科,民营公司,500-1000人,互联网/电子商务,16.0,2.772588722239781,深圳
20,3-4年经验,本科,上市公司,5000-10000人,互联网/电子商务,20.0,2.995732273553991,深圳
21,无工作经验,无学历要求,外资（欧美）,500-1000人,"银行,金融/投资/证券",9.0,2.1972245773362196,无锡
22,无工作经验,高中,合资,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州
23,3-4年经验,大专,民营公司,少于50人,"互联网/电子商务,计算机软件",9.0,2.1972245773362196,南京
24,无工作经验,无学历要求,外资（欧美）,500-1000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",7.0,1.9459101490553132,上海
26,无工作经验,无学历要求,民营公司,50-150人,"计算机软件,互联网/电子商务",7.5,2.0149030205422647,苏州
27,无工作经验,本科,民营公司,50-150人,计算机服务(系统、数据服务、维修),6.25,1.8325814637483102,佛山
28,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
29,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
30,5-7年经验,本科,民营公司,500-1000人,互联网/电子商务,17.5,2.8622008809294686,上海
31,2年经验,大专,民营公司,500-1000人,"批发/零售,家具/家电/玩具/礼品",8.0,2.0794415416798357,广州
32,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
33,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
34,5-7年经验,本科,民营公司,1000-5000人,"服装/纺织/皮革,批发/零售",17.5,2.8622008809294686,广州
35,1年经验,大专,民营公司,500-1000人,计算机软件,10.5,2.3513752571634776,厦门
36,无工作经验,大专,民营公司,150-500人,计算机软件,5.25,1.6582280766035324,合肥
37,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
38,2年经验,本科,上市公司,5000-10000人,教育/培训/院校,15.0,2.70805020110221,北京
39,无工作经验,无学历要求,民营公司,50-150人,贸易/进出口,7.0,1.9459101490553132,广州
40,2年经验,本科,民营公司,1000-5000人,"奢侈品/收藏品/工艺品/珠宝,家具/家电/玩具/礼品",10.0,2.302585092994046,深圳
41,1年经验,大专,民营公司,1000-5000人,医疗/护理/卫生,7.0,1.9459101490553132,深圳
42,2年经验,大专,民营公司,少于50人,"互联网/电子商务,贸易/进出口",7.0,1.9459101490553132,东莞
43,2年经验,大专,民营公司,50-150人,"互联网/电子商务,电子技术/半导体/集成电路",12.5,2.5257286443082556,深圳
44,3-4年经验,本科,民营公司,少于50人,"计算机软件,通信/电信运营、增值服务",11.5,2.4423470353692043,广州
45,无工作经验,高中,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州
46,无工作经验,本科,民营公司,1000-5000人,"影视/媒体/艺术/文化传播,批发/零售",6.0,1.791759469228055,重庆
47,2年经验,本科,上市公司,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",13.5,2.6026896854443837,上海
48,1年经验,本科,民营公司,150-500人,"网络游戏,互联网/电子商务",18.0,2.8903717578961645,上海
49,无工作经验,大专,民营公司,150-500人,"医疗设备/器械,医疗/护理/卫生",5.75,1.749199854809259,广州
50,3-4年经验,本科,国企,10000人以上,多元化业务集团公司,19.583333333333336,2.9746788643561586,广州
51,2年经验,大专,民营公司,50-150人,"互联网/电子商务,贸易/进出口",7.5,2.0149030205422647,东莞
52,无工作经验,大专,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州
53,无工作经验,大专,民营公司,50-150人,汽车及零配件,5.25,1.6582280766035324,重庆
54,无工作经验,无学历要求,民营公司,150-500人,教育/培训/院校,7.0,1.9459101490553132,成都
55,2年经验,本科,民营公司,1000-5000人,互联网/电子商务,17.5,2.8622008809294686,上海
56,1年经验,本科,民营公司,500-1000人,"电子技术/半导体/集成电路,家具/家电/玩具/礼品",7.5,2.0149030205422647,广州
57,1年经验,硕士,民营公司,50-150人,"互联网/电子商务,制药/生物工程",11.5,2.4423470353692043,上海
58,无工作经验,无学历要求,民营公司,150-500人,"网络游戏,互联网/电子商务",5.0,1.6094379124341003,上海
59,3-4年经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",15.0,2.70805020110221,上海
60,1年经验,硕士,民营公司,少于50人,"制药/生物工程,学术/科研",7.0,1.9459101490553132,济南
61,3-4年经验,大专,上市公司,500-1000人,房地产,6.5,1.8718021769015913,无锡
62,5-7年经验,本科,民营公司,50-150人,互联网/电子商务,17.5,2.8622008809294686,上海
63,2年经验,大专,创业公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046,深圳
64,3-4年经验,本科,民营公司,50-150人,计算机软件,10.5,2.3513752571634776,西安
65,无工作经验,中专,合资,150-500人,"金融/投资/证券,多元化业务集团公司",7.0,1.9459101490553132,北京
66,无工作经验,中专,合资,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,广州
67,无工作经验,无学历要求,民营公司,150-500人,"多元化业务集团公司,计算机软件",20.0,2.995732273553991,上海
68,2年经验,本科,民营公司,50-150人,"计算机软件,电子技术/半导体/集成电路",12.5,2.5257286443082556,南京
69,3-4年经验,本科,民营公司,50-150人,"计算机服务(系统、数据服务、维修),通信/电信运营、增值服务",12.5,2.5257286443082556,深圳
70,1年经验,大专,民营公司,50-150人,"环保,贸易/进出口",7.0,1.9459101490553132,上海
71,无工作经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",5.25,1.6582280766035324,青岛
72,1年经验,本科,民营公司,10000人以上,"通信/电信运营、增值服务,通信/电信/网络设备",12.5,2.5257286443082556,深圳
73,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,广州
74,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",9.0,2.1972245773362196,深圳
