,location,exp,edu,type,scale,industry,avgsalary,lnsalary
0,上海-浦东新区,5-7年经验,本科,上市公司,1000-5000人,互联网/电子商务,25.0,3.218875824868201
1,上海-长宁区,无工作经验,本科,外资（欧美）,500-1000人,"酒店/旅游,互联网/电子商务",7.0,1.9459101490553128
2,南京,3-4年经验,本科,上市公司,1000-5000人,"互联网/电子商务,计算机软件",12.5,2.525728644308256
3,广州-天河区,无工作经验,大专,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128
4,广州-天河区,1年经验,大专,外资（非欧美）,500-1000人,金融/投资/证券,9.0,2.19722457733622
5,广州-天河区,无工作经验,高中,合资,150-500人,金融/投资/证券,7.0,1.9459101490553128
6,成都-高新区,3-4年经验,本科,民营公司,,计算机软件,12.0,2.4849066497880004
7,广州-天河区,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128
8,西安-雁塔区,无工作经验,无学历要求,民营公司,500-1000人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015916
9,深圳-罗湖区,无工作经验,大专,民营公司,50-150人,金融/投资/证券,9.0,2.19722457733622
10,深圳-福田区,无工作经验,无学历要求,外资（非欧美）,1000-5000人,互联网/电子商务,17.5,2.862200880929469
11,上海-浦东新区,2年经验,本科,国企,1000-5000人,金融/投资/证券,25.0,3.218875824868201
12,广州-天河区,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128
13,广州-天河区,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128
14,武汉-汉阳区,无工作经验,无学历要求,民营公司,500-1000人,房地产,5.25,1.6582280766035324
15,广州-海珠区,2年经验,本科,民营公司,150-500人,"互联网/电子商务,广告",8.5,2.1400661634962708
16,深圳-南山区,无工作经验,无学历要求,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",3.75,1.3217558399823195
17,苏州-工业园区,无工作经验,大专,民营公司,50-150人,"互联网/电子商务,影视/媒体/艺术/文化传播",6.5,1.8718021769015916
18,广州-天河区,3-4年经验,大专,民营公司,150-500人,"互联网/电子商务,石油/化工/矿产/地质",9.0,2.19722457733622
19,深圳-龙华新区,3-4年经验,本科,民营公司,500-1000人,互联网/电子商务,16.0,2.772588722239781
20,深圳-南山区,3-4年经验,本科,上市公司,5000-10000人,互联网/电子商务,20.0,2.995732273553991
21,无锡,无工作经验,无学历要求,外资（欧美）,500-1000人,"银行,金融/投资/证券",9.0,2.19722457733622
22,广州-天河区,无工作经验,高中,合资,150-500人,金融/投资/证券,5.25,1.6582280766035324
23,南京-建邺区,3-4年经验,大专,民营公司,少于50人,"互联网/电子商务,计算机软件",9.0,2.19722457733622
