,exp,edu,type,scale,industry,avgsalary,lnsalary,city
0,5年以上经验,本科,上市公司,1000-5000人,互联网/电子商务,25.0,3.218875824868201,上海
1,无工作经验,本科,外资企业,500-1000人,"酒店/旅游,互联网/电子商务",7.0,1.9459101490553128,上海
2,3-4年经验,本科,上市公司,1000-5000人,"互联网/电子商务,计算机软件",12.5,2.525728644308256,南京
3,无工作经验,大专,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
4,1年经验,大专,外资企业,500-1000人,金融/投资/证券,9.0,2.19722457733622,广州
5,无工作经验,高中,合资,150-500人,金融/投资/证券,7.0,1.9459101490553128,广州
6,3-4年经验,本科,民营公司,,计算机软件,12.0,2.4849066497880004,成都
7,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
8,无工作经验,无学历要求,民营公司,500-1000人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015916,西安
9,无工作经验,大专,民营公司,50-150人,金融/投资/证券,9.0,2.19722457733622,深圳
10,无工作经验,无学历要求,外资企业,1000-5000人,互联网/电子商务,17.5,2.862200880929469,深圳
11,2年经验,本科,国企,1000-5000人,金融/投资/证券,25.0,3.218875824868201,上海
12,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
13,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
14,无工作经验,无学历要求,民营公司,500-1000人,房地产,5.25,1.6582280766035324,武汉
15,2年经验,本科,民营公司,150-500人,"互联网/电子商务,广告",8.5,2.1400661634962708,广州
16,无工作经验,无学历要求,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",3.75,1.3217558399823195,深圳
17,无工作经验,大专,民营公司,50-150人,"互联网/电子商务,影视/媒体/艺术/文化传播",6.5,1.8718021769015916,其他
18,3-4年经验,大专,民营公司,150-500人,"互联网/电子商务,石油/化工/矿产/地质",9.0,2.19722457733622,广州
19,3-4年经验,本科,民营公司,500-1000人,互联网/电子商务,16.0,2.772588722239781,深圳
20,3-4年经验,本科,上市公司,5000-10000人,互联网/电子商务,20.0,2.995732273553991,深圳
21,无工作经验,无学历要求,外资企业,500-1000人,"银行,金融/投资/证券",9.0,2.19722457733622,其他
22,无工作经验,高中,合资,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州
23,3-4年经验,大专,民营公司,少于50人,"互联网/电子商务,计算机软件",9.0,2.19722457733622,南京
24,无工作经验,无学历要求,外资企业,500-1000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",7.0,1.9459101490553128,上海
25,无工作经验,无学历要求,民营公司,50-150人,"计算机软件,互联网/电子商务",7.5,2.0149030205422647,其他
26,无工作经验,本科,民营公司,50-150人,计算机服务(系统、数据服务、维修),6.25,1.8325814637483104,其他
27,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
28,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
29,5年以上经验,本科,民营公司,500-1000人,互联网/电子商务,17.5,2.862200880929469,上海
30,2年经验,大专,民营公司,500-1000人,"批发/零售,家具/家电/玩具/礼品",8.0,2.079441541679836,广州
31,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
32,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
33,5年以上经验,本科,民营公司,1000-5000人,"服装/纺织/皮革,批发/零售",17.5,2.862200880929469,广州
34,1年经验,大专,民营公司,500-1000人,计算机软件,10.5,2.3513752571634776,其他
35,无工作经验,大专,民营公司,150-500人,计算机软件,5.25,1.6582280766035324,合肥
36,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
37,2年经验,本科,上市公司,5000-10000人,教育/培训/院校,15.0,2.70805020110221,北京
38,无工作经验,无学历要求,民营公司,50-150人,贸易/进出口,7.0,1.9459101490553128,广州
39,2年经验,本科,民营公司,1000-5000人,"奢侈品/收藏品/工艺品/珠宝,家具/家电/玩具/礼品",10.0,2.302585092994046,深圳
40,1年经验,大专,民营公司,1000-5000人,医疗/护理/卫生,7.0,1.9459101490553128,深圳
41,2年经验,大专,民营公司,少于50人,"互联网/电子商务,贸易/进出口",7.0,1.9459101490553128,其他
42,2年经验,大专,民营公司,50-150人,"互联网/电子商务,电子技术/半导体/集成电路",12.5,2.525728644308256,深圳
43,3-4年经验,本科,民营公司,少于50人,"计算机软件,通信/电信运营、增值服务",11.5,2.4423470353692043,广州
44,无工作经验,高中,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128,广州
45,无工作经验,本科,民营公司,1000-5000人,"影视/媒体/艺术/文化传播,批发/零售",6.0,1.791759469228055,其他
46,2年经验,本科,上市公司,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",13.5,2.602689685444384,上海
47,1年经验,本科,民营公司,150-500人,"网络游戏,互联网/电子商务",18.0,2.8903717578961645,上海
48,无工作经验,大专,民营公司,150-500人,"医疗设备/器械,医疗/护理/卫生",5.75,1.749199854809259,广州
49,3-4年经验,本科,国企,10000人以上,多元化业务集团公司,19.583333333333336,2.9746788643561586,广州
50,2年经验,大专,民营公司,50-150人,"互联网/电子商务,贸易/进出口",7.5,2.0149030205422647,其他
51,无工作经验,大专,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128,广州
52,无工作经验,大专,民营公司,50-150人,汽车及零配件,5.25,1.6582280766035324,其他
53,无工作经验,无学历要求,民营公司,150-500人,教育/培训/院校,7.0,1.9459101490553128,成都
54,2年经验,本科,民营公司,1000-5000人,互联网/电子商务,17.5,2.862200880929469,上海
55,1年经验,本科,民营公司,500-1000人,"电子技术/半导体/集成电路,家具/家电/玩具/礼品",7.5,2.0149030205422647,广州
56,1年经验,硕士,民营公司,50-150人,"互联网/电子商务,制药/生物工程",11.5,2.4423470353692043,上海
57,无工作经验,无学历要求,民营公司,150-500人,"网络游戏,互联网/电子商务",5.0,1.6094379124341005,上海
58,3-4年经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",15.0,2.70805020110221,上海
59,1年经验,硕士,民营公司,少于50人,"制药/生物工程,学术/科研",7.0,1.9459101490553128,其他
60,3-4年经验,大专,上市公司,500-1000人,房地产,6.5,1.8718021769015916,其他
61,5年以上经验,本科,民营公司,50-150人,互联网/电子商务,17.5,2.862200880929469,上海
62,2年经验,大专,创业公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046,深圳
63,3-4年经验,本科,民营公司,50-150人,计算机软件,10.5,2.3513752571634776,西安
64,无工作经验,中专,合资,150-500人,"金融/投资/证券,多元化业务集团公司",7.0,1.9459101490553128,北京
65,无工作经验,中专,合资,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128,广州
66,无工作经验,无学历要求,民营公司,150-500人,"多元化业务集团公司,计算机软件",20.0,2.995732273553991,上海
67,2年经验,本科,民营公司,50-150人,"计算机软件,电子技术/半导体/集成电路",12.5,2.525728644308256,南京
68,3-4年经验,本科,民营公司,50-150人,"计算机服务(系统、数据服务、维修),通信/电信运营、增值服务",12.5,2.525728644308256,深圳
69,1年经验,大专,民营公司,50-150人,"环保,贸易/进出口",7.0,1.9459101490553128,上海
70,无工作经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",5.25,1.6582280766035324,其他
71,1年经验,本科,民营公司,10000人以上,"通信/电信运营、增值服务,通信/电信/网络设备",12.5,2.525728644308256,深圳
72,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128,广州
73,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",9.0,2.19722457733622,深圳
74,无工作经验,无学历要求,民营公司,50-150人,"金融/投资/证券,多元化业务集团公司",10.416666666666668,2.3434070875143007,北京
