省,市,现存确诊人数,确诊人数,疑似人数,治愈人数,死亡人数,更新时间
吉林省,-,14,93,0.0,78,1,2020/03/01 17:48:01
吉林省,长春,6,45,0.0,39,0,2020/03/01 17:48:01
吉林省,四平市,3,15,0.0,11,1,2020/03/01 17:48:01
吉林省,通化,3,6,0.0,3,0,2020/03/01 17:48:01
吉林省,公主岭,1,6,0.0,5,0,2020/03/01 17:48:01
吉林省,白城,1,1,0.0,0,0,2020/03/01 17:48:01
吉林省,辽源,0,7,0.0,7,0,2020/03/01 17:48:01
吉林省,吉林市,0,5,0.0,5,0,2020/03/01 17:48:01
吉林省,延边,0,5,0.0,5,0,2020/03/01 17:48:01
吉林省,松原,0,2,0.0,2,0,2020/03/01 17:48:01
吉林省,梅河口,0,1,0.0,1,0,2020/03/01 17:48:01
吉林省,-,17,93,0.0,75,1,2020/02/29 17:10:32
吉林省,长春,6,45,0.0,39,0,2020/02/29 17:10:32
吉林省,四平市,3,15,0.0,11,1,2020/02/29 17:10:32
吉林省,辽源,3,7,0.0,4,0,2020/02/29 17:10:32
吉林省,通化,3,6,0.0,3,0,2020/02/29 17:10:32
吉林省,公主岭,1,6,0.0,5,0,2020/02/29 17:10:32
吉林省,白城,1,1,0.0,0,0,2020/02/29 17:10:32
吉林省,吉林市,0,5,0.0,5,0,2020/02/29 17:10:32
吉林省,延边,0,5,0.0,5,0,2020/02/29 17:10:32
吉林省,松原,0,2,0.0,2,0,2020/02/29 17:10:32
吉林省,梅河口,0,1,0.0,1,0,2020/02/29 17:10:32
吉林省,-,19,93,0.0,73,1,2020/02/28 16:24:58
吉林省,长春,8,45,0.0,37,0,2020/02/28 16:24:58
吉林省,四平市,3,15,0.0,11,1,2020/02/28 16:24:58
吉林省,辽源,3,7,0.0,4,0,2020/02/28 16:24:58
吉林省,通化,3,6,0.0,3,0,2020/02/28 16:24:58
吉林省,公主岭,1,6,0.0,5,0,2020/02/28 16:24:58
吉林省,白城,1,1,0.0,0,0,2020/02/28 16:24:58
吉林省,吉林市,0,5,0.0,5,0,2020/02/28 16:24:58
吉林省,延边,0,5,0.0,5,0,2020/02/28 16:24:58
吉林省,松原,0,2,0.0,2,0,2020/02/28 16:24:58
吉林省,梅河口,0,1,0.0,1,0,2020/02/28 16:24:58
吉林省,-,22,93,0.0,70,1,2020/02/28 15:17:09
吉林省,长春,10,45,0.0,35,0,2020/02/28 15:17:09
吉林省,通化,4,6,0.0,2,0,2020/02/28 15:17:09
吉林省,四平市,3,15,0.0,11,1,2020/02/28 15:17:09
吉林省,辽源,3,7,0.0,4,0,2020/02/28 15:17:09
吉林省,公主岭,1,6,0.0,5,0,2020/02/28 15:17:09
吉林省,白城,1,1,0.0,0,0,2020/02/28 15:17:09
吉林省,吉林市,0,5,0.0,5,0,2020/02/28 15:17:09
吉林省,延边,0,5,0.0,5,0,2020/02/28 15:17:09
吉林省,松原,0,2,0.0,2,0,2020/02/28 15:17:09
吉林省,梅河口,0,1,0.0,1,0,2020/02/28 15:17:09
吉林省,-,24,93,0.0,68,1,2020/02/28 08:14:23
吉林省,长春,10,45,0.0,35,0,2020/02/28 08:14:23
吉林省,辽源,5,7,0.0,2,0,2020/02/28 08:14:23
吉林省,通化,4,6,0.0,2,0,2020/02/28 08:14:23
吉林省,四平市,3,15,0.0,11,1,2020/02/28 08:14:23
吉林省,公主岭,1,6,0.0,5,0,2020/02/28 08:14:23
吉林省,白城,1,1,0.0,0,0,2020/02/28 08:14:23
吉林省,吉林市,0,5,0.0,5,0,2020/02/28 08:14:23
吉林省,延边,0,5,0.0,5,0,2020/02/28 08:14:23
吉林省,松原,0,2,0.0,2,0,2020/02/28 08:14:23
吉林省,梅河口,0,1,0.0,1,0,2020/02/28 08:14:23
