,exp,edu,scale,avgsalary,lnsalary,city,type,industry
0,5-7年经验,本科,1000-5000人,25.0,3.218875824868201,上海,上市公司,互联网/电子商务
1,无工作经验,本科,500-1000人,7.0,1.9459101490553128,上海,外资企业,其他
2,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,南京,上市公司,互联网/电子商务
3,无工作经验,大专,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
4,1年经验,大专,500-1000人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券
5,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
7,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
8,无工作经验,无学历要求,500-1000人,6.5,1.8718021769015916,西安,民营公司,金融/投资/证券
9,无工作经验,大专,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券
10,无工作经验,无学历要求,1000-5000人,17.5,2.862200880929469,深圳,外资企业,互联网/电子商务
11,2年经验,本科,1000-5000人,25.0,3.218875824868201,上海,国企,金融/投资/证券
12,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
13,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
14,无工作经验,无学历要求,500-1000人,5.25,1.6582280766035324,武汉,民营公司,其他
15,2年经验,本科,150-500人,8.5,2.1400661634962708,广州,民营公司,互联网/电子商务
16,无工作经验,无学历要求,50-150人,3.75,1.3217558399823195,深圳,民营公司,互联网/电子商务
17,无工作经验,大专,50-150人,6.5,1.8718021769015916,其他,民营公司,互联网/电子商务
18,3-4年经验,大专,150-500人,9.0,2.19722457733622,广州,民营公司,互联网/电子商务
19,3-4年经验,本科,500-1000人,16.0,2.772588722239781,深圳,民营公司,互联网/电子商务
20,3-4年经验,本科,5000-10000人,20.0,2.9957322735539913,深圳,上市公司,互联网/电子商务
21,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,其他,外资企业,其他
22,无工作经验,高中,150-500人,5.25,1.6582280766035324,广州,合资,金融/投资/证券
23,3-4年经验,大专,少于50人,9.0,2.19722457733622,南京,民营公司,互联网/电子商务
24,无工作经验,无学历要求,500-1000人,7.0,1.9459101490553128,上海,外资企业,互联网/电子商务
25,无工作经验,无学历要求,50-150人,7.5,2.0149030205422647,其他,民营公司,计算机软件
