,exp,edu,scale,industry,avgsalary,lnsalary,city,type
0,5-7年经验,本科,1000-5000人,互联网/电子商务,25.0,3.2188758248682006,上海,上市公司
1,无工作经验,本科,500-1000人,"酒店/旅游,互联网/电子商务",7.0,1.9459101490553132,上海,外资企业
2,3-4年经验,本科,1000-5000人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,南京,上市公司
3,无工作经验,大专,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
4,1年经验,大专,500-1000人,金融/投资/证券,9.0,2.1972245773362196,广州,外资企业
5,无工作经验,高中,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州,合资
6,3-4年经验,本科,,计算机软件,12.0,2.4849066497880004,成都,民营公司
7,无工作经验,高中,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
8,无工作经验,无学历要求,500-1000人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015913,西安,民营公司
9,无工作经验,大专,50-150人,金融/投资/证券,9.0,2.1972245773362196,深圳,民营公司
10,无工作经验,无学历要求,1000-5000人,互联网/电子商务,17.5,2.8622008809294686,深圳,外资企业
11,2年经验,本科,1000-5000人,金融/投资/证券,25.0,3.2188758248682006,上海,国企
12,无工作经验,高中,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
13,无工作经验,高中,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
14,无工作经验,无学历要求,500-1000人,房地产,5.25,1.6582280766035324,武汉,民营公司
15,2年经验,本科,150-500人,"互联网/电子商务,广告",8.5,2.1400661634962708,广州,民营公司
16,无工作经验,无学历要求,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",3.75,1.3217558399823195,深圳,民营公司
17,无工作经验,大专,50-150人,"互联网/电子商务,影视/媒体/艺术/文化传播",6.5,1.8718021769015913,其他,民营公司
18,3-4年经验,大专,150-500人,"互联网/电子商务,石油/化工/矿产/地质",9.0,2.1972245773362196,广州,民营公司
19,3-4年经验,本科,500-1000人,互联网/电子商务,16.0,2.772588722239781,深圳,民营公司
20,3-4年经验,本科,5000-10000人,互联网/电子商务,20.0,2.995732273553991,深圳,上市公司
21,无工作经验,无学历要求,500-1000人,"银行,金融/投资/证券",9.0,2.1972245773362196,其他,外资企业
22,无工作经验,高中,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州,合资
23,3-4年经验,大专,少于50人,"互联网/电子商务,计算机软件",9.0,2.1972245773362196,南京,民营公司
24,无工作经验,无学历要求,500-1000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",7.0,1.9459101490553132,上海,外资企业
26,无工作经验,无学历要求,50-150人,"计算机软件,互联网/电子商务",7.5,2.0149030205422647,其他,民营公司
27,无工作经验,本科,50-150人,计算机服务(系统、数据服务、维修),6.25,1.8325814637483102,其他,民营公司
28,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
29,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
30,5-7年经验,本科,500-1000人,互联网/电子商务,17.5,2.8622008809294686,上海,民营公司
31,2年经验,大专,500-1000人,"批发/零售,家具/家电/玩具/礼品",8.0,2.0794415416798357,广州,民营公司
32,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
33,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
34,5-7年经验,本科,1000-5000人,"服装/纺织/皮革,批发/零售",17.5,2.8622008809294686,广州,民营公司
35,1年经验,大专,500-1000人,计算机软件,10.5,2.3513752571634776,其他,民营公司
36,无工作经验,大专,150-500人,计算机软件,5.25,1.6582280766035324,合肥,民营公司
37,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
38,2年经验,本科,5000-10000人,教育/培训/院校,15.0,2.70805020110221,北京,上市公司
