,exp,edu,scale,avgsalary,lnsalary,city,type,industry,indu1
0,5年以上工作经验,本科,1000-5000人,25.0,3.218875824868201,上海,上市公司,互联网/电子商务,互联网/电子商务
1,无工作经验,本科,500-1000人,7.0,1.9459101490553128,上海,外资企业,其他,其他
2,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,南京,上市公司,互联网/电子商务,互联网/电子商务
3,无工作经验,大专,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
4,1年经验,大专,500-1000人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券,金融/投资/证券
5,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券,金融/投资/证券
6,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
7,无工作经验,无学历要求,500-1000人,6.5,1.8718021769015916,西安,民营公司,金融/投资/证券,金融/投资/证券
8,无工作经验,大专,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券,金融/投资/证券
9,无工作经验,无学历要求,1000-5000人,17.5,2.862200880929469,深圳,外资企业,互联网/电子商务,互联网/电子商务
10,2年经验,本科,1000-5000人,25.0,3.218875824868201,上海,国企,金融/投资/证券,金融/投资/证券
11,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
12,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
13,无工作经验,无学历要求,500-1000人,5.25,1.6582280766035324,武汉,民营公司,其他,其他
14,2年经验,本科,150-500人,8.5,2.1400661634962708,广州,民营公司,互联网/电子商务,互联网/电子商务
15,无工作经验,无学历要求,50-150人,3.75,1.3217558399823195,深圳,民营公司,互联网/电子商务,互联网/电子商务
16,无工作经验,大专,50-150人,6.5,1.8718021769015916,其他,民营公司,互联网/电子商务,互联网/电子商务
17,3-4年经验,大专,150-500人,9.0,2.19722457733622,广州,民营公司,互联网/电子商务,互联网/电子商务
18,3-4年经验,本科,500-1000人,16.0,2.772588722239781,深圳,民营公司,互联网/电子商务,互联网/电子商务
19,3-4年经验,本科,5000-10000人,20.0,2.9957322735539913,深圳,上市公司,互联网/电子商务,互联网/电子商务
20,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,其他,外资企业,其他,其他
21,无工作经验,高中,150-500人,5.25,1.6582280766035324,广州,合资,金融/投资/证券,金融/投资/证券
22,3-4年经验,大专,少于50人,9.0,2.19722457733622,南京,民营公司,互联网/电子商务,互联网/电子商务
23,无工作经验,无学历要求,500-1000人,7.0,1.9459101490553128,上海,外资企业,互联网/电子商务,互联网/电子商务
24,无工作经验,无学历要求,50-150人,7.5,2.0149030205422647,其他,民营公司,计算机软件,计算机软件
25,无工作经验,本科,50-150人,6.25,1.8325814637483104,其他,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
26,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
27,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
28,5年以上工作经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务,互联网/电子商务
29,2年经验,大专,500-1000人,8.0,2.079441541679836,广州,民营公司,其他,其他
30,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
31,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
32,5年以上工作经验,本科,1000-5000人,17.5,2.862200880929469,广州,民营公司,服装/纺织/皮革,服装/纺织/皮革
33,1年经验,大专,500-1000人,10.5,2.3513752571634776,其他,民营公司,计算机软件,计算机软件
34,无工作经验,大专,150-500人,5.25,1.6582280766035324,合肥,民营公司,计算机软件,计算机软件
35,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
36,2年经验,本科,5000-10000人,15.0,2.7080502011022096,北京,上市公司,教育/培训/院校,其他
37,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,广州,民营公司,其他,其他
38,2年经验,本科,1000-5000人,10.0,2.302585092994046,深圳,民营公司,其他,其他
39,1年经验,大专,1000-5000人,7.0,1.9459101490553128,深圳,民营公司,其他,其他
40,2年经验,大专,少于50人,7.0,1.9459101490553128,其他,民营公司,互联网/电子商务,互联网/电子商务
41,2年经验,大专,50-150人,12.5,2.525728644308256,深圳,民营公司,互联网/电子商务,互联网/电子商务
42,3-4年经验,本科,少于50人,11.5,2.4423470353692043,广州,民营公司,计算机软件,计算机软件
43,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
44,无工作经验,本科,1000-5000人,6.0,1.791759469228055,其他,民营公司,其他,其他
45,2年经验,本科,150-500人,13.5,2.602689685444384,上海,上市公司,互联网/电子商务,互联网/电子商务
46,1年经验,本科,150-500人,18.0,2.8903717578961645,上海,民营公司,其他,其他
47,无工作经验,大专,150-500人,5.75,1.749199854809259,广州,民营公司,其他,其他
48,3-4年经验,本科,10000人以上,19.583333333333336,2.9746788643561586,广州,国企,多元化业务集团公司,其他
49,2年经验,大专,50-150人,7.5,2.0149030205422647,其他,民营公司,互联网/电子商务,互联网/电子商务
50,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
51,无工作经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,其他,其他
52,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,成都,民营公司,教育/培训/院校,其他
53,2年经验,本科,1000-5000人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务,互联网/电子商务
54,1年经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,其他,其他
55,1年经验,硕士,50-150人,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务,互联网/电子商务
56,无工作经验,无学历要求,150-500人,5.0,1.6094379124341005,上海,民营公司,其他,其他
57,3-4年经验,大专,50-150人,15.0,2.7080502011022096,上海,民营公司,计算机软件,计算机软件
58,1年经验,硕士,少于50人,7.0,1.9459101490553128,其他,民营公司,其他,其他
59,3-4年经验,大专,500-1000人,6.5,1.8718021769015916,其他,上市公司,其他,其他
60,5年以上工作经验,本科,50-150人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务,互联网/电子商务
61,2年经验,大专,少于50人,10.0,2.302585092994046,深圳,创业公司,计算机软件,计算机软件
62,3-4年经验,本科,50-150人,10.5,2.3513752571634776,西安,民营公司,计算机软件,计算机软件
63,无工作经验,中专,150-500人,7.0,1.9459101490553128,北京,合资,金融/投资/证券,金融/投资/证券
64,无工作经验,中专,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券,金融/投资/证券
65,无工作经验,无学历要求,150-500人,20.0,2.9957322735539913,上海,民营公司,多元化业务集团公司,其他
66,2年经验,本科,50-150人,12.5,2.525728644308256,南京,民营公司,计算机软件,计算机软件
