,age
0,31
1,33
2,23
3,31
4,10
5,46
6,20
7,45
8,59
9,65
10,74
11,35
12,18
13,79
14,41
15,56
16,26
17,53
18,62
19,76
20,46
21,52
22,47
23,15
24,36
25,19
26,33
27,27
28,62
29,36
30,12
31,79
32,13
33,11
34,25
35,12
36,70
37,66
38,19
39,43
40,11
41,39
42,29
43,46
44,36
45,79
46,76
47,76
48,61
49,58
50,17
51,37
52,12
53,30
54,67
55,60
56,42
57,59
58,78
59,35
60,23
61,48
62,28
63,22
64,76
65,53
66,73
67,68
68,74
69,33
70,22
71,42
72,10
73,18
74,43
75,12
76,59
77,65
78,79
79,47
80,20
81,75
82,26
83,72
84,55
85,58
86,11
87,73
88,57
89,43
90,21
91,30
92,24
93,14
94,42
95,38
96,57
97,17
98,59
99,65
100,79
101,21
102,70
103,51
104,63
105,34
106,79
107,49
108,31
109,52
110,38
111,59
112,59
113,77
114,49
115,20
116,22
117,45
118,78
119,76
120,55
121,72
122,50
123,19
124,15
125,67
126,72
127,64
128,43
129,18
130,35
131,21
132,40
133,52
134,70
135,43
136,72
137,50
138,79
139,78
140,73
141,56
142,27
143,71
144,37
145,73
146,69
147,53
148,70
149,49
150,10
151,59
152,59
153,53
154,66
155,73
156,63
157,24
158,11
159,75
160,33
161,33
162,36
163,13
164,47
165,26
166,23
167,73
168,22
169,53
170,61
171,45
172,18
173,69
174,18
175,11
176,42
177,67
178,77
179,70
180,47
181,49
182,28
183,66
184,70
185,70
186,34
187,53
188,74
189,46
190,46
191,43
192,44
193,33
194,42
195,79
196,59
197,17
198,78
199,51
