date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-08-27,63.08,63.68,63.47,62.72,585793.44,1.0,1.6,63.47,63.47,63.47,585793.44,585793.44,585793.44,0.54
2018-08-28,63.8,63.84,62.9,62.6,424944.22,-0.57,-0.9,63.185,63.185,63.185,505368.83,505368.83,505368.83,0.39
2018-08-29,62.68,63.3,63.01,62.65,278926.78,0.11,0.17,63.127,63.127,63.127,429888.15,429888.15,429888.15,0.26
2018-08-30,63.5,64.05,63.16,63.02,458496.34,0.15,0.24,63.135,63.135,63.135,437040.2,437040.2,437040.2,0.42
2018-08-31,62.4,63.43,62.98,62.2,521114.0,-0.18,-0.28,63.104,63.104,63.104,453854.96,453854.96,453854.96,0.48
2018-09-03,62.6,63.0,62.73,62.11,323790.59,-0.25,-0.4,62.956,63.042,63.042,401454.39,432177.56,432177.56,0.3
2018-09-04,62.85,64.93,64.8,62.54,658378.75,2.07,3.3,63.336,63.293,63.293,448141.29,464492.02,464492.02,0.61
2018-09-05,64.41,64.64,62.8,62.8,507437.19,-2.0,-3.09,63.294,63.231,63.231,493843.37,469860.16,469860.16,0.47
2018-09-06,62.1,62.52,61.32,61.01,457426.28,-0.86,-1.38,62.926,63.019,63.019,493629.36,468478.62,468478.62,0.42
2018-09-07,61.88,63.5,62.78,61.6,494711.66,1.46,2.38,62.886,62.995,62.995,488348.89,471101.93,471101.93,0.46
2018-09-10,62.6,62.87,62.03,61.6,323390.0,-0.75,-1.2,62.746,62.851,62.907,488268.78,444861.58,457673.57,0.3
2018-09-11,62.0,62.58,61.68,61.25,347070.56,-0.35,-0.56,62.122,62.729,62.805,426007.14,437074.22,448456.65,0.32
2018-09-12,61.31,61.46,60.6,60.28,435460.28,-1.08,-1.75,61.682,62.488,62.635,411611.76,452727.57,447456.93,0.4
2018-09-13,61.78,62.4,62.4,61.01,538847.0,1.8,2.97,61.898,62.412,62.619,427895.9,460762.63,453984.79,0.5
2018-09-14,62.57,63.76,63.3,62.42,558370.44,0.9,1.44,62.002,62.444,62.664,440627.66,464488.28,460943.84,0.52
2018-09-17,62.3,63.18,62.51,62.25,269595.88,-0.79,-1.25,62.098,62.422,62.654,429868.83,459068.8,448984.59,0.25
2018-09-18,62.15,64.3,64.12,62.1,635569.31,1.61,2.58,62.586,62.354,62.741,487568.58,456787.86,459960.16,0.59
2018-09-19,64.09,65.8,65.15,63.81,834705.06,1.03,1.61,63.496,62.589,62.874,567417.54,489514.65,480779.32,0.77
2018-09-20,65.2,65.56,64.8,64.61,418923.78,-0.35,-0.54,63.976,62.937,62.976,543432.89,485664.4,477523.77,0.39
2018-09-21,65.28,67.5,67.49,64.97,810431.06,2.69,4.15,64.814,63.408,63.202,593845.02,517236.34,494169.13,0.75
2018-09-25,66.9,67.73,67.19,66.48,578103.88,-0.3,-0.45,65.75,63.924,63.388,655546.62,542707.73,493784.65,0.53
2018-09-26,67.23,69.0,67.96,66.83,908525.5,0.77,1.15,66.518,64.552,63.641,710137.86,598853.22,517963.72,0.84
2018-09-27,67.73,67.75,67.2,66.86,623574.31,-0.76,-1.12,66.928,65.212,63.85,667911.71,617664.62,535196.09,0.58
2018-09-28,67.5,69.1,68.5,67.44,739523.88,1.3,1.94,67.668,65.822,64.117,732031.73,637732.31,549247.47,0.68
2018-10-08,66.8,66.84,64.78,64.71,1128444.75,-3.72,-5.43,67.126,65.97,64.207,795634.46,694739.74,579614.01,1.04
2018-10-09,64.63,65.38,65.0,64.33,486319.09,0.22,0.34,66.688,66.219,64.321,777277.51,716412.06,587740.43,0.45
2018-10-10,65.09,65.58,64.65,64.2,582799.0,-0.35,-0.54,66.026,66.272,64.313,712132.21,711135.03,583961.45,0.54
2018-10-11,62.1,63.2,61.85,61.38,1145327.5,-2.8,-4.33,64.956,65.942,64.266,816482.84,742197.28,615855.96,1.06
2018-10-12,62.5,64.25,63.87,62.3,774616.69,2.02,3.27,64.03,65.849,64.393,823501.41,777766.57,631715.48,0.72
2018-10-15,63.9,64.44,63.2,63.09,539743.25,-0.67,-1.05,63.714,65.42,64.414,705761.11,750697.79,633967.06,0.5
2018-10-16,63.35,65.18,64.0,63.33,584035.0,0.8,1.27,63.514,65.101,64.513,725304.29,751290.9,646999.31,0.54
2018-10-17,65.17,65.32,64.16,62.41,761401.94,0.16,0.25,63.416,64.721,64.637,761024.88,736578.54,667715.88,0.7
2018-10-18,63.49,63.52,62.45,62.25,603019.81,-1.71,-2.67,63.536,64.246,64.729,652563.34,734523.09,676093.86,0.56
2018-10-19,61.99,66.1,65.62,61.88,1138815.12,3.17,5.08,63.886,63.958,64.89,725403.02,774452.22,706092.26,1.05
2018-10-22,66.01,69.42,67.93,65.62,1616881.75,2.31,3.52,64.832,64.273,65.122,940830.72,823295.92,759017.83,1.49
2018-10-23,68.0,68.32,65.51,64.88,1172134.5,-2.42,-3.56,65.134,64.324,65.272,1058450.62,891877.46,804144.76,1.08
2018-10-24,65.78,67.85,66.25,65.56,810632.06,0.74,1.13,65.552,64.484,65.378,1068296.65,914660.76,812897.9,0.75
2018-10-25,64.2,66.66,66.66,64.2,736202.5,0.41,0.62,66.394,64.965,65.454,1094933.19,873748.26,807972.77,0.68
2018-10-26,66.3,66.77,65.54,64.38,797411.06,-1.12,-1.68,66.378,65.132,65.491,1026652.37,876027.7,826897.13,0.74
2018-10-29,65.87,65.99,62.0,61.9,1216419.38,-3.54,-5.4,65.192,65.012,65.216,946559.9,943695.31,847196.55,1.12
2018-10-30,60.0,64.63,62.8,59.5,1269208.25,0.8,1.29,64.65,64.892,64.997,965974.65,1012212.64,881751.77,1.17
2018-10-31,63.01,63.95,63.63,62.16,782835.25,0.83,1.32,64.126,64.839,64.78,960415.29,1014355.97,875467.25,0.72
2018-11-01,64.22,65.5,64.3,64.08,689871.06,0.67,1.05,63.654,65.024,64.635,951149.0,1023041.09,878782.09,0.64
2018-11-02,66.92,67.35,67.35,65.55,1173949.38,3.05,4.74,64.016,65.197,64.578,1026456.66,1026554.52,900503.37,1.08
2018-11-05,66.5,67.05,66.58,65.7,547131.88,-0.77,-1.14,64.932,65.062,64.668,892599.16,919579.53,871437.72,0.51
2018-11-06,66.2,66.8,66.8,65.8,385081.84,0.22,0.33,65.732,65.191,64.758,715773.88,840874.27,866375.86,0.36
