指标,就业人员(万人),第一产业就业人员(万人),第二产业就业人员(万人),第三产业就业人员(万人)
2000年,72085,36042.5,16219.1,19823.4
2001年,72797,36398.5,16233.7,20164.8
2002年,73280,36640,15681.9,20958.1
2003年,73736,36204.4,15927,21604.6
2004年,74264,34829.8,16709.4,22724.8
2005年,74647,33441.9,17766,23439.2
2006年,74978,31940.6,18894.5,24142.9
2007年,75321,30731,20186,24404
2008年,75564,29923.3,20553.4,25087.2
2009年,75828,28890.5,21080.2,25857.3
2010年,76105,27930.5,21842.1,26332.3
2011年,76420,26594,22544,27282
2012年,76704,25773,23241,27690
2013年,76977,24171,23170,29636
2014年,77253,22790,23099,31364
2015年,77451,21919,22693,32839
2016年,77603,21496,22350,33757
2017年,77640,20944,21824,34872
2018年,77586,20258,21390,35938
2019年,77471,19445.2,21304.5,36721.3
